d0	128
d1	129
d2	130
d3	131
d4	132
d5	133
d6	134
d7	135

a0	136
a1	137
a2	138
a3	139
a4	140
a5	141
a6	142
a7	143

sp	143
usp	184
ssp	144
pc	145
sr	146
ccr	147

ic40	185
dc40	186
bc40	187

sfc 188
dfc 189
vbr 191

cacr    192
caar    193
msp 194
isp 195

tc  196
itt0    197
itt1    198
dtt0    199
dtt1    200
mmusr   201
psr     201
urp 202
srp 203

iacr0   204
iacr1   205
dacr0   206
dacr1   207

tt0     208
tt1     209

crp     210

fpiar   220
fpsr    221
fpcr    222

fp0     224
fp1     225
fp2     226
fp3     227
fp4     228
fp5     229
fp6     230
fp7     231

